Company,Item Description (Raw),Item Code / Legacy Ref,Quantity,UOM,Part Number / OEM Number,Make / Brand,Specifications / Dimensions
ONGC,BALL  VALVE  1  INCH  SS316  1000  WOG  PTFE  SEAT   REQ AS PER ATTACHED SPEC,MAT4486004,1385,BTL,N/A,ABB,Standard specification as per IS/ISO. Dimension: 168mm. Material: Rubber.
GAIL,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,MAT5572575,300,KGS,N/A,L&T,Standard specification as per IS/ISO. Dimension: 128mm. Material: SS316.
IOCL,GATE VALVE 2 INCH 800# FORGED STEEL A105,MAT6436666,4793,MTR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 52mm. Material: SS304.
Coal India (BCCL),air  filter  element  outer  &  inner  for  beml  dumper - URGENT REQ,MAT6418851,1087,PAIR,N/A,PIX,Standard specification as per IS/ISO. Dimension: 168mm. Material: MS.
IOCL,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT1742442,4118,MT,PN-6935-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 177mm. Material: SS304.
ONGC,safety  shoe  mens  black  size  9  leather  ce  approved (BOQ1 REF),MAT7251184,1389,NOS,PN-9774-X,BEML,Standard specification as per IS/ISO. Dimension: 141mm. Material: SS304.
Coal India (BCCL),AIR FILTER ELEMENT OUTER & INNER FOR BEML DUMPER,MAT5069912,3691,KGS,PN-2000-B,FENNER,Standard specification as per IS/ISO. Dimension: 211mm. Material: Rubber.
IOCL,filter  lube  oil  for  cummins  engine  kta19 - URGENT REQ,MAT7890367,117,PAIR,PN-5288-X,CUMMINS,Standard specification as per IS/ISO. Dimension: 57mm. Material: SS304.
GAIL,WIRE  ROPE  16MM  DIA  6X36  FMC  RHRL  UNGALVANIZED   REQ AS PER ATTACHED SPEC,MAT4884007,4250,LTR,PN-5411-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 211mm. Material: Brass.
NTPC,gate valve 2 inch 800# forged steel a105,MAT4337142,3699,PAIR,PN-3503-Y,PHILIPS,Standard specification as per IS/ISO. Dimension: 282mm. Material: Alloy Steel.
IOCL,welding electrode e7018 3.15mm x 450mm,MAT8614221,1740,BTL,N/A,L&T,Standard specification as per IS/ISO. Dimension: 107mm. Material: SS316.
NTPC,seal kit for hydraulic cylinder beml dozer,MAT6452995,1820,LTR,PN-7949-Z,UNBRAKO,Standard specification as per IS/ISO. Dimension: 198mm. Material: Alloy Steel.
IOCL,SS TUBE 1/2 INCH OD X 1.2MM THK ASTM A213,MAT9741565,529,SET,PN-2549-B,OEM,Standard specification as per IS/ISO. Dimension: 165mm. Material: SS304.
HEC,RUBBER  CONVEYOR  BELT  800MM  WIDE  EP  400/3   REQ AS PER ATTACHED SPEC,MAT4138926,1683,PAIR,PN-3014-A,BOSCH,Standard specification as per IS/ISO. Dimension: 153mm. Material: SS304.
Coal India (Central Coalfields Limited),bearing  ball  radial  6205  2rs  skf/fag  make  only **OEM ONLY**,MAT5162270,3355,MT,PN-7104-X,FAG,Standard specification as per IS/ISO. Dimension: 154mm. Material: SS316.
Coal India (Central Coalfields Limited),LUBRICATING OIL SERVO SYSTEM 68 IN 210 LTR DRUM,MAT4968629,763,MT,PN-2276-B,SKF,Standard specification as per IS/ISO. Dimension: 201mm. Material: SS304.
BHEL,air  filter  element  outer  &  inner  for  beml  dumper **OEM ONLY**,MAT7475768,1924,ROLL,N/A,BEML,Standard specification as per IS/ISO. Dimension: 201mm. Material: Alloy Steel.
NTPC,v belt c-120 fenner pix only for crusher drive,MAT5978971,1947,NOS,PN-5163-X,FENNER,Standard specification as per IS/ISO. Dimension: 56mm. Material: SS316.
GAIL,FLANGE  GASKET  150#  100MM  NB  SPIRAL  WOUND  NON  ASBESTOS (BOQ1 REF),MAT5267672,1272,MTR,PN-5405-Y,OEM,Standard specification as per IS/ISO. Dimension: 277mm. Material: SS304.
Coal India (BCCL),hydraulic  hose  1  inch  r2  10  meters  with  fittings   REQ AS PER ATTACHED SPEC,MAT9946155,2470,PAIR,PN-1546-X,KOMATSU,Standard specification as per IS/ISO. Dimension: 83mm. Material: MS.
NTPC,bull  dozer  track  chain  assembly  39  links **OEM ONLY**,MAT6683190,1424,NOS,PN-5592-Z,FAG,Standard specification as per IS/ISO. Dimension: 217mm. Material: Brass.
ONGC,bull  dozer  track  chain  assembly  39  links (BOQ1 REF),MAT6626558,1746,ROLL,PN-1531-Y,ESCO,Standard specification as per IS/ISO. Dimension: 204mm. Material: Brass.
ONGC,gate  valve  2  inch  800#  forged  steel  a105 (BOQ1 REF),MAT2639079,2271,ROLL,PN-9332-Z,PIX,Standard specification as per IS/ISO. Dimension: 13mm. Material: Rubber.
HEC,INDUSTRIAL HEATER 2KW 230V TUBULAR TYPE,MAT1827007,2276,ROLL,PN-2801-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 206mm. Material: Rubber.
Coal India (Central Coalfields Limited),oxygen gas cylinder refill industrial grade,MAT9433061,668,ROLL,PN-9816-B,SKF,Standard specification as per IS/ISO. Dimension: 62mm. Material: Brass.
ONGC,bull dozer track chain assembly 39 links,MAT9265585,4208,ROLL,PN-4464-A,ESCO,Standard specification as per IS/ISO. Dimension: 170mm. Material: SS316.
BHEL,m.s. hex bolt & nut m16x65mm long is:1363,MAT6967093,336,LTR,PN-2090-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 192mm. Material: SS304.
NTPC,ball valve 1 inch ss316 1000 wog ptfe seat,MAT4720095,2744,LTR,PN-6790-Y,BOSCH,Standard specification as per IS/ISO. Dimension: 170mm. Material: MS.
GAIL,high  tensile  bolt  m24  x  100mm  grade  8.8  galvanized **OEM ONLY**,MAT1359967,377,SET,N/A,L&T,Standard specification as per IS/ISO. Dimension: 53mm. Material: Alloy Steel.
BHEL,bearing ball radial 6205 2rs skf/fag make only,MAT4878994,4933,MTR,N/A,ABB,Standard specification as per IS/ISO. Dimension: 275mm. Material: MS.
NTPC,oxygen gas cylinder refill industrial grade,MAT4140710,736,BTL,PN-7246-B,ESCO,Standard specification as per IS/ISO. Dimension: 266mm. Material: Brass.
Coal India (BCCL),V BELT C-120 FENNER PIX ONLY FOR CRUSHER DRIVE,MAT4393211,864,ROLL,N/A,SIEMENS,Standard specification as per IS/ISO. Dimension: 282mm. Material: Brass.
IOCL,ball valve 1 inch ss316 1000 wog ptfe seat,MAT1353774,1198,NOS,PN-3235-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 171mm. Material: MS.
Coal India (BCCL),wire rope 16mm dia 6x36 fmc rhrl ungalvanized,MAT7048497,1913,LTR,PN-6427-Y,SIEMENS,Standard specification as per IS/ISO. Dimension: 252mm. Material: SS304.
GAIL,TAPER  ROLLER  BEARING  32218  J2/Q   REQ AS PER ATTACHED SPEC,MAT3329469,3014,KGS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 176mm. Material: SS304.
ONGC,FILTER LUBE OIL FOR CUMMINS ENGINE KTA19,MAT2092682,1937,ROLL,N/A,BOSCH,Standard specification as per IS/ISO. Dimension: 27mm. Material: SS304.
GAIL,roller bearing spherical 22316 ek c3,MAT8274764,4270,NOS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 130mm. Material: SS304.
GAIL,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT8143396,3278,NOS,PN-6969-Z,BOSCH,Standard specification as per IS/ISO. Dimension: 142mm. Material: SS316.
Coal India (Central Coalfields Limited),rubber conveyor belt 800mm wide ep 400/3,MAT7558828,1890,LTR,PN-5869-A,KOMATSU,Standard specification as per IS/ISO. Dimension: 185mm. Material: MS.
HEC,v belt c-120 fenner pix only for crusher drive,MAT7481582,195,NOS,PN-9094-B,ABB,Standard specification as per IS/ISO. Dimension: 20mm. Material: Rubber.
NTPC,ROLLER  BEARING  SPHERICAL  22316  EK  C3 (BOQ1 REF),MAT1576989,3539,BTL,PN-7634-B,FENNER,Standard specification as per IS/ISO. Dimension: 258mm. Material: SS316.
Coal India (Central Coalfields Limited),SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT3973521,294,NOS,PN-6667-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 191mm. Material: Brass.
ONGC,CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,MAT3795498,670,BTL,PN-6593-A,PIX,Standard specification as per IS/ISO. Dimension: 88mm. Material: MS.
Coal India (Central Coalfields Limited),welding electrode e7018 3.15mm x 450mm,MAT2349467,3252,NOS,PN-9582-Y,CUMMINS,Standard specification as per IS/ISO. Dimension: 245mm. Material: Alloy Steel.
GAIL,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,MAT6042688,4397,MTR,PN-7423-X,TVS,Standard specification as per IS/ISO. Dimension: 43mm. Material: SS304.
Coal India (Central Coalfields Limited),oxygen gas cylinder refill industrial grade,MAT3977488,245,PAIR,PN-4231-Y,ESCO,Standard specification as per IS/ISO. Dimension: 160mm. Material: MS.
GAIL,hydraulic hose 1 inch r2 10 meters with fittings,MAT5711008,4621,MTR,PN-2223-X,SKF,Standard specification as per IS/ISO. Dimension: 33mm. Material: Brass.
Coal India (BCCL),SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,MAT2951348,408,KGS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 27mm. Material: Brass.
IOCL,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,MAT2638974,2954,BTL,PN-4766-B,OEM,Standard specification as per IS/ISO. Dimension: 296mm. Material: SS316.
IOCL,o-ring p/n 87654321 for komatsu dumper hemm spare,MAT7574015,4579,BTL,PN-8410-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 279mm. Material: SS316.
Coal India (BCCL),hydraulic hose 1 inch r2 10 meters with fittings,MAT7731107,3338,MT,PN-4058-A,FAG,Standard specification as per IS/ISO. Dimension: 250mm. Material: Alloy Steel.
ONGC,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT3602467,4988,PAIR,PN-7486-X,CG,Standard specification as per IS/ISO. Dimension: 239mm. Material: SS316.
IOCL,TAPER ROLLER BEARING 32218 J2/Q,MAT9610174,956,MT,PN-9016-X,BOSCH,Standard specification as per IS/ISO. Dimension: 266mm. Material: SS316.
BHEL,FILTER LUBE OIL FOR CUMMINS ENGINE KTA19,MAT2082354,534,MTR,PN-9664-B,KOMATSU,Standard specification as per IS/ISO. Dimension: 55mm. Material: Alloy Steel.
HEC,taper roller bearing 32218 j2/q,MAT5290875,3989,ROLL,PN-8785-X,ESCO,Standard specification as per IS/ISO. Dimension: 141mm. Material: Brass.
NTPC,MCB 4 POLE 63 AMP C CURVE 10KA,MAT5314077,2344,NOS,PN-7086-X,ABB,Standard specification as per IS/ISO. Dimension: 218mm. Material: Brass.
BHEL,SAFETY  SHOE  MENS  BLACK  SIZE  9  LEATHER  CE  APPROVED - URGENT REQ,MAT4512209,1610,BTL,PN-5380-Y,L&T,Standard specification as per IS/ISO. Dimension: 50mm. Material: Brass.
BHEL,welding  electrode  e7018  3.15mm  x  450mm **OEM ONLY**,MAT8454608,1515,PAIR,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 220mm. Material: SS316.
BHEL,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,MAT8557663,2058,SET,PN-2960-B,ESCO,Standard specification as per IS/ISO. Dimension: 245mm. Material: Brass.
GAIL,GATE  VALVE  2  INCH  800#  FORGED  STEEL  A105 **OEM ONLY**,MAT9735252,2611,NOS,N/A,SKF,Standard specification as per IS/ISO. Dimension: 250mm. Material: Rubber.
IOCL,bull  dozer  track  chain  assembly  39  links - URGENT REQ,MAT2166724,2800,KGS,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 45mm. Material: SS316.
ONGC,MCB  4  POLE  63  AMP  C  CURVE  10KA - URGENT REQ,MAT1893238,4395,BTL,PN-3923-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 299mm. Material: Rubber.
Coal India (Central Coalfields Limited),MCB 4 POLE 63 AMP C CURVE 10KA,MAT5302922,2242,MT,PN-9020-A,PHILIPS,Standard specification as per IS/ISO. Dimension: 232mm. Material: Alloy Steel.
GAIL,flange gasket 150# 100mm nb spiral wound non asbestos,MAT1535738,3750,NOS,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 103mm. Material: SS304.
HEC,ball valve 1 inch ss316 1000 wog ptfe seat,MAT4754080,4837,BTL,PN-5159-X,UNBRAKO,Standard specification as per IS/ISO. Dimension: 255mm. Material: SS316.
IOCL,taper roller bearing 32218 j2/q,MAT7597509,2777,PAIR,PN-1435-A,FAG,Standard specification as per IS/ISO. Dimension: 214mm. Material: MS.
Coal India (BCCL),oxygen gas cylinder refill industrial grade,MAT4587262,3016,NOS,PN-2431-X,BEML,Standard specification as per IS/ISO. Dimension: 214mm. Material: Brass.
NTPC,FILTER  LUBE  OIL  FOR  CUMMINS  ENGINE  KTA19   REQ AS PER ATTACHED SPEC,MAT8095962,1726,MT,PN-1055-B,BOSCH,Standard specification as per IS/ISO. Dimension: 161mm. Material: Alloy Steel.
IOCL,flange  gasket  150#  100mm  nb  spiral  wound  non  asbestos **OEM ONLY**,MAT2735495,2218,MTR,PN-4381-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 22mm. Material: MS.
Coal India (BCCL),roller  bearing  spherical  22316  ek  c3 **OEM ONLY**,MAT9455325,1085,NOS,PN-2905-A,L&T,Standard specification as per IS/ISO. Dimension: 270mm. Material: SS304.
Coal India (BCCL),industrial heater 2kw 230v tubular type,MAT9102987,3976,ROLL,PN-7183-B,ABB,Standard specification as per IS/ISO. Dimension: 109mm. Material: MS.
IOCL,roller  bearing  spherical  22316  ek  c3   REQ AS PER ATTACHED SPEC,MAT9847966,4918,ROLL,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 210mm. Material: SS316.
HEC,PRESSURE GAUGE 0-100 KG/CM2 150MM DIAL BOTTOM ENTRY,MAT5820633,2563,BTL,PN-6235-X,UNBRAKO,Standard specification as per IS/ISO. Dimension: 48mm. Material: Alloy Steel.
Coal India (Central Coalfields Limited),transformer oil ehv grade in 209 ltr barrel,MAT7411061,4587,ROLL,PN-6539-A,UNBRAKO,Standard specification as per IS/ISO. Dimension: 154mm. Material: SS316.
BHEL,filter lube oil for cummins engine kta19,MAT8133504,3073,NOS,PN-2983-Z,SIEMENS,Standard specification as per IS/ISO. Dimension: 213mm. Material: SS316.
GAIL,wire rope 16mm dia 6x36 fmc rhrl ungalvanized,MAT9951368,2337,KGS,PN-6901-B,SIEMENS,Standard specification as per IS/ISO. Dimension: 109mm. Material: SS316.
Coal India (Central Coalfields Limited),bearing  ball  radial  6205  2rs  skf/fag  make  only   REQ AS PER ATTACHED SPEC,MAT4445505,4294,MTR,N/A,PHILIPS,Standard specification as per IS/ISO. Dimension: 76mm. Material: Rubber.
ONGC,O-RING  P/N  87654321  FOR  KOMATSU  DUMPER  HEMM  SPARE - URGENT REQ,MAT3367042,3271,ROLL,PN-6644-Y,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 54mm. Material: Brass.
ONGC,roller bearing spherical 22316 ek c3,MAT2768582,3437,NOS,PN-4086-Y,TVS,Standard specification as per IS/ISO. Dimension: 114mm. Material: MS.
BHEL,safety shoe mens black size 9 leather ce approved,MAT7616631,3863,NOS,PN-8532-Z,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 14mm. Material: SS316.
ONGC,pressure  gauge  0-100  kg/cm2  150mm  dial  bottom  entry **OEM ONLY**,MAT3339173,1958,SET,PN-1747-A,TVS,Standard specification as per IS/ISO. Dimension: 93mm. Material: Rubber.
BHEL,diesel  exhaust  fluid  def  aus  32 - URGENT REQ,MAT9681954,2292,ROLL,PN-2790-B,UNBRAKO,Standard specification as per IS/ISO. Dimension: 51mm. Material: MS.
NTPC,ball  valve  1  inch  ss316  1000  wog  ptfe  seat   REQ AS PER ATTACHED SPEC,MAT3702450,3980,MT,PN-9924-A,FENNER,Standard specification as per IS/ISO. Dimension: 82mm. Material: SS316.
HEC,wire rope 16mm dia 6x36 fmc rhrl ungalvanized,MAT6809019,286,PAIR,PN-6116-B,ESCO,Standard specification as per IS/ISO. Dimension: 31mm. Material: MS.
HEC,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,MAT5540036,3178,NOS,N/A,FENNER,Standard specification as per IS/ISO. Dimension: 210mm. Material: Rubber.
Coal India (BCCL),TAPER ROLLER BEARING 32218 J2/Q,MAT6673266,3982,MTR,N/A,ESCO,Standard specification as per IS/ISO. Dimension: 179mm. Material: SS316.
NTPC,bull dozer track chain assembly 39 links,MAT1551177,2008,ROLL,PN-2919-X,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 248mm. Material: Rubber.
BHEL,V BELT C-120 FENNER PIX ONLY FOR CRUSHER DRIVE,MAT7595137,1745,MT,N/A,ABB,Standard specification as per IS/ISO. Dimension: 249mm. Material: SS316.
Coal India (BCCL),RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT7809827,3683,PAIR,PN-6911-Z,BOSCH,Standard specification as per IS/ISO. Dimension: 37mm. Material: Brass.
Coal India (BCCL),contactor 3 pole 400v 63a l&t/siemens,MAT1903835,376,BTL,N/A,FAG,Standard specification as per IS/ISO. Dimension: 73mm. Material: Alloy Steel.
ONGC,air  filter  element  outer  &  inner  for  beml  dumper - URGENT REQ,MAT8961868,4945,MTR,PN-4623-B,KOMATSU,Standard specification as per IS/ISO. Dimension: 281mm. Material: SS304.
NTPC,lubricating oil servo system 68 in 210 ltr drum,MAT6178959,2721,ROLL,PN-3343-Y,BOSCH,Standard specification as per IS/ISO. Dimension: 136mm. Material: Brass.
GAIL,welding electrode e7018 3.15mm x 450mm,MAT2544168,87,LTR,PN-2799-B,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 269mm. Material: Rubber.
NTPC,SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,MAT5944543,1292,ROLL,PN-5610-Z,PIX,Standard specification as per IS/ISO. Dimension: 91mm. Material: Rubber.
HEC,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,MAT6511372,3693,BTL,PN-3993-Y,ESCO,Standard specification as per IS/ISO. Dimension: 277mm. Material: Alloy Steel.
BHEL,BEARING  BALL  RADIAL  6205  2RS  SKF/FAG  MAKE  ONLY (BOQ1 REF),MAT7133174,474,BTL,PN-9106-X,ESCO,Standard specification as per IS/ISO. Dimension: 248mm. Material: MS.
Coal India (Central Coalfields Limited),rubber conveyor belt 800mm wide ep 400/3,MAT4360568,840,MT,PN-4220-A,ABB,Standard specification as per IS/ISO. Dimension: 105mm. Material: Brass.
ONGC,roller bearing spherical 22316 ek c3,MAT7962115,3641,SET,N/A,ANY REPUTED MAKE,Standard specification as per IS/ISO. Dimension: 46mm. Material: Rubber.
GAIL,seal kit for hydraulic cylinder beml dozer,MAT4097769,4106,MT,N/A,SKF,Standard specification as per IS/ISO. Dimension: 85mm. Material: Brass.
GAIL,LED  FLOOD  LIGHT  200W  IP66  6500K  CG/PHILIPS - URGENT REQ,MAT7678222,1218,BTL,N/A,BOSCH,Standard specification as per IS/ISO. Dimension: 191mm. Material: Brass.
ONGC,roller bearing spherical 22316 ek c3,MAT8464140,3008,NOS,PN-4301-Z,ABB,Standard specification as per IS/ISO. Dimension: 270mm. Material: Alloy Steel.
GAIL,BALL VALVE 1 INCH SS316 1000 WOG PTFE SEAT,MAT1886374,3246,ROLL,PN-1206-Z,PIX,Standard specification as per IS/ISO. Dimension: 117mm. Material: SS316.
