query_material,candidate_material,label,relation
GATE VALVE 2 INCH 800#,BALL VALVE 2 INCH 800# FORGED STEEL,0,DIFFERENT
GATE VALVE 2 INCH 800#,GLOBE VALVE 2 INCH 800# FORGED STEEL A105,0,DIFFERENT
BALL VALVE 1 INCH SS316,BALL VALVE 1 INCH SS316 1000 WOG PTFE SEAT,1,SAME_ARTICLE
BL VLV 1 INCH SS 316 PTFE,BALL VALVE 1 INCH STAINLESS STEEL 316 1000 WOG PTFE SEAT,1,SAME_ARTICLE
SS316 BALL VALVE 1 INCH,BALL VALVE 1 INCH SS316 1000 WOG PTFE SEAT,1,SAME_ARTICLE
BALL VALVE 1 INCH SS316,BALL VALVE 2 INCH SS316 1000 WOG PTFE SEAT,0,DIFFERENT
BALL VALVE 1 INCH SS316,BALL VALVE 1 INCH SS304 1000 WOG PTFE SEAT,0,DIFFERENT
BALL VALVE 1 INCH SS316,BALL VALVE 1/2 INCH SS316 1000 WOG PTFE SEAT,0,DIFFERENT
HEX BOLT M16 X 65,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,1,SAME_ARTICLE
MS HEXAGONAL BOLT AND NUT M16X65,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,1,SAME_ARTICLE
BOLT M16 65MM WITH NUT,M.S. HEX BOLT & NUT M16X65MM LONG IS:1363,1,SAME_ARTICLE
HEX BOLT M16 X 65,HEX BOLT M16 X 80,0,DIFFERENT
HEX BOLT M16 X 65,HEX BOLT M20 X 65,0,DIFFERENT
HEX BOLT M16 X 65,HEX BOLT M10 X 50,0,DIFFERENT
HEX BOLT M16 X 65,HIGH TENSILE BOLT M24 X 100MM GRADE 8.8 GALVANIZED,0,DIFFERENT
HIGH TENSILE BOLT M24 X 100 GRADE 8.8,HIGH TENSILE BOLT M24 X 100MM GRADE 8.8 GALVANIZED,1,SAME_ARTICLE
HT BOLT M24X100 GR 8.8 GALV,HIGH TENSILE BOLT M24 X 100MM GRADE 8.8 GALVANIZED,1,SAME_ARTICLE
HIGH TENSILE BOLT M24 X 100 GRADE 8.8,HIGH TENSILE BOLT M24 X 120MM GRADE 8.8 GALVANIZED,0,DIFFERENT
HIGH TENSILE BOLT M24 X 100 GRADE 8.8,HIGH TENSILE BOLT M24 X 100MM GRADE 10.9 GALVANIZED,0,DIFFERENT
FLANGE GASKET 100NB 150#,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,1,SAME_ARTICLE
SPIRAL WOUND GASKET 4 INCH 150 CLASS,FLANGE GASKET 150# 100MM NB SPIRAL WOUND NON ASBESTOS,1,NEAR_DUPLICATE
GSKT FLG 150# 100 NB SW,FLANGE GASKET 150# 100MM NOMINAL BORE SPIRAL WOUND NON ASBESTOS,1,SAME_ARTICLE
FLANGE GASKET 100NB 150#,FLANGE GASKET 300# 100MM NB SPIRAL WOUND NON ASBESTOS,0,DIFFERENT
FLANGE GASKET 100NB 150#,FLANGE GASKET 150# 50MM NB SPIRAL WOUND NON ASBESTOS,0,DIFFERENT
FLANGE GASKET 100NB 150#,FLANGE GASKET 150# 100MM NB CAF FULL FACE,0,DIFFERENT
HYDRAULIC HOSE 1 INCH R2,HYDRAULIC HOSE 1 INCH R2 10 METERS WITH FITTINGS,1,SAME_ARTICLE
HYD HOSE 1IN R2 10M,HYDRAULIC HOSE 1 INCH R2 10 METERS WITH FITTINGS,1,SAME_ARTICLE
HYDRAULIC HOSE 1 INCH R2,HYDRAULIC HOSE 1 INCH R1 10 METERS WITH FITTINGS,0,DIFFERENT
HYDRAULIC HOSE 1 INCH R2,HYDRAULIC HOSE 3/4 INCH R2 10 METERS WITH FITTINGS,0,DIFFERENT
HYDRAULIC HOSE 1 INCH R2,SS TUBE 1/2 INCH OD X 1.2MM THK ASTM A213,0,DIFFERENT
LUBE OIL FILTER CUMMINS KTA19,FILTER LUBE OIL FOR CUMMINS ENGINE KTA19,1,SAME_ARTICLE
OIL FILTER FOR KTA19 CUMMINS ENGINE,FILTER LUBE OIL FOR CUMMINS ENGINE KTA19,1,SAME_ARTICLE
LUB OIL FLTR CUMMINS KTA 19,FILTER LUBE OIL FOR CUMMINS ENGINE KTA19,1,SAME_ARTICLE
LUBE OIL FILTER CUMMINS KTA19,FILTER LUBE OIL FOR CUMMINS ENGINE KTA38,0,DIFFERENT
LUBE OIL FILTER CUMMINS KTA19,FUEL FILTER FOR CUMMINS ENGINE KTA19,0,DIFFERENT
LUBE OIL FILTER CUMMINS KTA19,AIR FILTER ELEMENT OUTER & INNER FOR BEML DUMPER,0,DIFFERENT
AIR FILTER BEML DUMPER,AIR FILTER ELEMENT OUTER & INNER FOR BEML DUMPER,1,SAME_ARTICLE
AIR FILTER ELEMENT BEML DUMPER,AIR FILTER ELEMENT OUTER & INNER FOR BEML DOZER,0,DIFFERENT
SEAL KIT HYDRAULIC CYLINDER BEML DOZER,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,1,SAME_ARTICLE
HYD CYL SEAL KIT BEML DOZER,SEAL KIT FOR HYDRAULIC CYLINDER BEML DOZER,1,SAME_ARTICLE
SEAL KIT HYDRAULIC CYLINDER BEML DOZER,SEAL KIT FOR HYDRAULIC CYLINDER BEML DUMPER,0,DIFFERENT
SEAL KIT HYDRAULIC CYLINDER BEML DOZER,SEAL KIT FOR HYDRAULIC CYLINDER KOMATSU DOZER,0,DIFFERENT
LED FLOOD LIGHT 200W,LED FLOOD LIGHT 200W IP66 6500K CG/PHILIPS,1,SAME_ARTICLE
200 WATT LED FLOODLIGHT IP66,LED FLOOD LIGHT 200W IP66 6500K CG/PHILIPS,1,SAME_ARTICLE
LED FLOOD LIGHT 200W,LED FLOOD LIGHT 100W IP66 6500K CG/PHILIPS,0,DIFFERENT
LED FLOOD LIGHT 200W,LED STREET LIGHT 200W IP66 6500K,0,DIFFERENT
CONTACTOR 3 POLE 400V 63A,CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,1,SAME_ARTICLE
3P CONTACTOR 63 AMP 415V,CONTACTOR 3 POLE 400V 63A L&T/SIEMENS,1,NEAR_DUPLICATE
CONTACTOR 3 POLE 400V 63A,CONTACTOR 3 POLE 400V 40A L&T/SIEMENS,0,DIFFERENT
CONTACTOR 3 POLE 400V 63A,MCB 4 POLE 63 AMP C CURVE 10KA,0,DIFFERENT
MCB 4 POLE 63A C CURVE,MCB 4 POLE 63 AMP C CURVE 10KA,1,SAME_ARTICLE
MCB 4P 63A 10KA,MCB 4 POLE 63 AMP C CURVE 10KA,1,SAME_ARTICLE
MCB 4 POLE 63A C CURVE,MCB 2 POLE 63 AMP C CURVE 10KA,0,DIFFERENT
MCB 4 POLE 63A C CURVE,MCB 4 POLE 32 AMP C CURVE 10KA,0,DIFFERENT
MCB 4 POLE 63A C CURVE,MCB 4 POLE 63 AMP D CURVE 10KA,0,DIFFERENT
SUBMERSIBLE PUMP 5HP,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,1,SAME_ARTICLE
5 HP 3 PH SUBMERSIBLE PUMP,SUBMERSIBLE PUMP 5HP 3 PHASE 415V,1,SAME_ARTICLE
SUBMERSIBLE PUMP 5HP,SUBMERSIBLE PUMP 7.5HP 3 PHASE 415V,0,DIFFERENT
SUBMERSIBLE PUMP 5HP,SUBMERSIBLE PUMP 5HP 1 PHASE 230V,0,DIFFERENT
PRESSURE GAUGE 0-100 KG/CM2 150MM,PRESSURE GAUGE 0-100 KG/CM2 150MM DIAL BOTTOM ENTRY,1,SAME_ARTICLE
PR GAUGE 100 KG 150 MM DIAL,PRESSURE GAUGE 0-100 KG/CM2 150MM DIAL BOTTOM ENTRY,1,SAME_ARTICLE
PRESSURE GAUGE 0-100 KG/CM2 150MM,PRESSURE GAUGE 0-10 KG/CM2 150MM DIAL BOTTOM ENTRY,0,DIFFERENT
PRESSURE GAUGE 0-100 KG/CM2 150MM,PRESSURE GAUGE 0-100 KG/CM2 100MM DIAL BOTTOM ENTRY,0,DIFFERENT
WELDING ELECTRODE E7018 3.15MM,WELDING ELECTRODE E7018 3.15MM X 450MM,1,SAME_ARTICLE
E7018 ELECTRODE 3.15 MM,WELDING ELECTRODE E7018 3.15MM X 450MM,1,SAME_ARTICLE
WELDING ELECTRODE E7018 3.15MM,WELDING ELECTRODE E7018 4MM X 450MM,0,DIFFERENT
WELDING ELECTRODE E7018 3.15MM,WELDING ELECTRODE E6013 3.15MM X 450MM,0,DIFFERENT
WIRE ROPE 16MM 6X36,WIRE ROPE 16MM DIA 6X36 FMC RHRL UNGALVANIZED,1,SAME_ARTICLE
16 MM WIRE ROPE 6 X 36 UNGALV,WIRE ROPE 16MM DIA 6X36 FMC RHRL UNGALVANIZED,1,SAME_ARTICLE
WIRE ROPE 16MM 6X36,WIRE ROPE 20MM DIA 6X36 FMC RHRL UNGALVANIZED,0,DIFFERENT
WIRE ROPE 16MM 6X36,WIRE ROPE 16MM DIA 6X19 FMC RHRL GALVANIZED,0,DIFFERENT
SS TUBE 1/2 INCH OD 1.2MM,SS TUBE 1/2 INCH OD X 1.2MM THK ASTM A213,1,SAME_ARTICLE
STAINLESS STEEL TUBE HALF INCH 1.2 THK A213,SS TUBE 1/2 INCH OD X 1.2MM THK ASTM A213,1,SAME_ARTICLE
SS TUBE 1/2 INCH OD 1.2MM,SS TUBE 3/4 INCH OD X 1.2MM THK ASTM A213,0,DIFFERENT
SS TUBE 1/2 INCH OD 1.2MM,SS TUBE 1/2 INCH OD X 2MM THK ASTM A213,0,DIFFERENT
SERVO SYSTEM 68 OIL 210 LTR,LUBRICATING OIL SERVO SYSTEM 68 IN 210 LTR DRUM,1,SAME_ARTICLE
HYDRAULIC OIL 68 GRADE DRUM 210 L,LUBRICATING OIL SERVO SYSTEM 68 IN 210 LTR DRUM,1,NEAR_DUPLICATE
SERVO SYSTEM 68 OIL 210 LTR,LUBRICATING OIL SERVO SYSTEM 46 IN 210 LTR DRUM,0,DIFFERENT
SERVO SYSTEM 68 OIL 210 LTR,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,0,DIFFERENT
TRANSFORMER OIL EHV 209 LTR,TRANSFORMER OIL EHV GRADE IN 209 LTR BARREL,1,SAME_ARTICLE
TRANSFORMER OIL EHV 209 LTR,TRANSFORMER OIL STANDARD GRADE IN 209 LTR BARREL,0,DIFFERENT
CONVEYOR BELT 800MM EP400/3,RUBBER CONVEYOR BELT 800MM WIDE EP 400/3,1,SAME_ARTICLE
CONVEYOR BELT 800MM EP400/3,RUBBER CONVEYOR BELT 1000MM WIDE EP 400/3,0,DIFFERENT
CONVEYOR BELT 800MM EP400/3,RUBBER CONVEYOR BELT 800MM WIDE EP 630/4,0,DIFFERENT
DOZER TRACK CHAIN 39 LINKS,BULL DOZER TRACK CHAIN ASSEMBLY 39 LINKS,1,SAME_ARTICLE
DOZER TRACK CHAIN 39 LINKS,BULL DOZER TRACK CHAIN ASSEMBLY 41 LINKS,0,DIFFERENT
INDUSTRIAL HEATER 2KW 230V,INDUSTRIAL HEATER 2KW 230V TUBULAR TYPE,1,SAME_ARTICLE
INDUSTRIAL HEATER 2KW 230V,INDUSTRIAL HEATER 3KW 230V TUBULAR TYPE,0,DIFFERENT
O RING 87654321 KOMATSU,O-RING P/N 87654321 FOR KOMATSU DUMPER HEMM SPARE,1,SAME_ARTICLE
O RING 87654321 KOMATSU,O-RING P/N 87654322 FOR KOMATSU DUMPER HEMM SPARE,0,DIFFERENT
OXYGEN CYLINDER REFILL,OXYGEN GAS CYLINDER REFILL INDUSTRIAL GRADE,1,SAME_ARTICLE
OXYGEN CYLINDER REFILL,ARGON GAS CYLINDER REFILL INDUSTRIAL GRADE,0,DIFFERENT
DEF AUS 32,DIESEL EXHAUST FLUID DEF AUS 32,1,SAME_ARTICLE
DEF AUS 32,DIESEL EXHAUST FLUID DEF AUS 40,0,DIFFERENT
SAFETY SHOE SIZE 9,SAFETY SHOE MENS BLACK SIZE 9 LEATHER CE APPROVED,1,SAME_ARTICLE
SAFETY SHOE SIZE 9,SAFETY SHOE MENS BLACK SIZE 8 LEATHER CE APPROVED,0,DIFFERENT
DN50 GATE VALVE,GATE VALVE 2 INCH 800# FORGED STEEL A105,1,NEAR_DUPLICATE
DN50 GATE VALVE,GATE VALVE 4 INCH 150# CAST STEEL,0,DIFFERENT
SOME COMPLETELY UNRELATED MATERIAL,V-BELT C-120,0,DIFFERENT
SOME COMPLETELY UNRELATED MATERIAL,BALL BEARING 6205,0,DIFFERENT
OFFICE CHAIR REVOLVING,BALL BEARING 6205,0,DIFFERENT
PRINTER TONER CARTRIDGE,GATE VALVE 2 INCH 800# FORGED STEEL A105,0,DIFFERENT
